Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1770-03-01 00:00:01;1770-04-01 00:00:00;1770-03;-2.9;G
1770-04-01 00:00:01;1770-05-01 00:00:00;1770-04;4.5;G
1770-05-01 00:00:01;1770-06-01 00:00:00;1770-05;11.5;G
1770-06-01 00:00:01;1770-07-01 00:00:00;1770-06;15.1;G
1770-07-01 00:00:01;1770-08-01 00:00:00;1770-07;18.1;G
1770-08-01 00:00:01;1770-09-01 00:00:00;1770-08;18.1;G
1770-09-01 00:00:01;1770-10-01 00:00:00;1770-09;15.4;G
1770-10-01 00:00:01;1770-11-01 00:00:00;1770-10;10.5;G
1770-11-01 00:00:01;1770-12-01 00:00:00;1770-11;2.5;G
1770-12-01 00:00:01;1771-01-01 00:00:00;1770-12;1.5;G
1771-01-01 00:00:01;1771-02-01 00:00:00;1771-01;-3.8;G
1771-02-01 00:00:01;1771-03-01 00:00:00;1771-02;-3.8;G
1771-03-01 00:00:01;1771-04-01 00:00:00;1771-03;-3.9;G
1771-04-01 00:00:01;1771-05-01 00:00:00;1771-04;2.2;G
1771-05-01 00:00:01;1771-06-01 00:00:00;1771-05;12.4;G
1771-06-01 00:00:01;1771-07-01 00:00:00;1771-06;18.0;G
1771-07-01 00:00:01;1771-08-01 00:00:00;1771-07;17.2;G
1771-08-01 00:00:01;1771-09-01 00:00:00;1771-08;15.1;G
1771-09-01 00:00:01;1771-10-01 00:00:00;1771-09;12.5;G
1771-10-01 00:00:01;1771-11-01 00:00:00;1771-10;10.1;G
1771-11-01 00:00:01;1771-12-01 00:00:00;1771-11;2.8;G
1771-12-01 00:00:01;1772-01-01 00:00:00;1771-12;2.5;G
1772-01-01 00:00:01;1772-02-01 00:00:00;1772-01;-1.6;G
1772-02-01 00:00:01;1772-03-01 00:00:00;1772-02;-2.1;G
1772-03-01 00:00:01;1772-04-01 00:00:00;1772-03;-1.1;G
1772-04-01 00:00:01;1772-05-01 00:00:00;1772-04;4.7;G
1772-05-01 00:00:01;1772-06-01 00:00:00;1772-05;10.0;G
1772-06-01 00:00:01;1772-07-01 00:00:00;1772-06;16.2;G
1772-07-01 00:00:01;1772-08-01 00:00:00;1772-07;17.8;G
1772-08-01 00:00:01;1772-09-01 00:00:00;1772-08;17.1;G
1772-09-01 00:00:01;1772-10-01 00:00:00;1772-09;13.6;G
1772-10-01 00:00:01;1772-11-01 00:00:00;1772-10;11.0;G
1772-11-01 00:00:01;1772-12-01 00:00:00;1772-11;7.2;G
1772-12-01 00:00:01;1773-01-01 00:00:00;1772-12;2.9;G
1773-01-01 00:00:01;1773-02-01 00:00:00;1773-01;1.0;G
1773-02-01 00:00:01;1773-03-01 00:00:00;1773-02;-0.9;G
1773-03-01 00:00:01;1773-04-01 00:00:00;1773-03;1.6;G
1773-04-01 00:00:01;1773-05-01 00:00:00;1773-04;7.3;G
1773-05-01 00:00:01;1773-06-01 00:00:00;1773-05;14.1;G
1773-06-01 00:00:01;1773-07-01 00:00:00;1773-06;15.9;G
1773-07-01 00:00:01;1773-08-01 00:00:00;1773-07;18.1;G
1773-08-01 00:00:01;1773-09-01 00:00:00;1773-08;18.0;G
1773-09-01 00:00:01;1773-10-01 00:00:00;1773-09;14.5;G
1773-11-01 00:00:01;1773-12-01 00:00:00;1773-11;5.0;G
1773-12-01 00:00:01;1774-01-01 00:00:00;1773-12;2.6;G
1806-12-01 00:00:01;1807-01-01 00:00:00;1806-12;3.2;Y
1807-01-01 00:00:01;1807-02-01 00:00:00;1807-01;-0.5;Y
1808-12-01 00:00:01;1809-01-01 00:00:00;1808-12;-6.4;Y
1814-03-01 00:00:01;1814-04-01 00:00:00;1814-03;-2.1;Y
1815-01-01 00:00:01;1815-02-01 00:00:00;1815-01;-2.7;Y
1819-12-01 00:00:01;1820-01-01 00:00:00;1819-12;-1.9;Y
1820-01-01 00:00:01;1820-02-01 00:00:00;1820-01;-3.9;Y
1829-12-01 00:00:01;1830-01-01 00:00:00;1829-12;-3.9;Y
1831-01-01 00:00:01;1831-02-01 00:00:00;1831-01;-6.0;Y
1832-01-01 00:00:01;1832-02-01 00:00:00;1832-01;-2.1;Y
1832-02-01 00:00:01;1832-03-01 00:00:00;1832-02;-2.0;Y
1858-07-01 00:00:01;1858-08-01 00:00:00;1858-07;17.5;Y
1858-08-01 00:00:01;1858-09-01 00:00:00;1858-08;16.9;Y
1858-09-01 00:00:01;1858-10-01 00:00:00;1858-09;14.0;Y
1858-10-01 00:00:01;1858-11-01 00:00:00;1858-10;8.3;Y
1858-11-01 00:00:01;1858-12-01 00:00:00;1858-11;-0.5;Y
1858-12-01 00:00:01;1859-01-01 00:00:00;1858-12;0.6;Y
1859-01-01 00:00:01;1859-02-01 00:00:00;1859-01;1.1;Y
1859-02-01 00:00:01;1859-03-01 00:00:00;1859-02;2.0;Y
1859-03-01 00:00:01;1859-04-01 00:00:00;1859-03;3.4;Y
