Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visby Flygplats;78400;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-11-01 00:00:00;2023-05-31 23:59:59;41.05;57.6678;18.3516

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1965-02-01 00:00:01;1965-03-01 00:00:00;1965-02;-2.7;Y
1965-03-01 00:00:01;1965-04-01 00:00:00;1965-03;-0.7;Y
1965-04-01 00:00:01;1965-05-01 00:00:00;1965-04;4.2;Y
1965-05-01 00:00:01;1965-06-01 00:00:00;1965-05;6.6;Y
1965-06-01 00:00:01;1965-07-01 00:00:00;1965-06;14.2;Y
1965-07-01 00:00:01;1965-08-01 00:00:00;1965-07;14.0;Y
1965-08-01 00:00:01;1965-09-01 00:00:00;1965-08;14.6;Y
1965-09-01 00:00:01;1965-10-01 00:00:00;1965-09;13.2;Y
1965-10-01 00:00:01;1965-11-01 00:00:00;1965-10;8.8;Y
1965-11-01 00:00:01;1965-12-01 00:00:00;1965-11;0.3;Y
1965-12-01 00:00:01;1966-01-01 00:00:00;1965-12;-0.5;Y
1966-01-01 00:00:01;1966-02-01 00:00:00;1966-01;-4.0;Y
1966-02-01 00:00:01;1966-03-01 00:00:00;1966-02;-6.3;Y
1966-03-01 00:00:01;1966-04-01 00:00:00;1966-03;0.0;Y
1966-04-01 00:00:01;1966-05-01 00:00:00;1966-04;1.5;Y
1966-05-01 00:00:01;1966-06-01 00:00:00;1966-05;9.4;Y
1966-06-01 00:00:01;1966-07-01 00:00:00;1966-06;16.2;Y
1966-07-01 00:00:01;1966-08-01 00:00:00;1966-07;17.2;Y
1966-08-01 00:00:01;1966-09-01 00:00:00;1966-08;15.4;Y
1966-09-01 00:00:01;1966-10-01 00:00:00;1966-09;11.6;Y
1966-10-01 00:00:01;1966-11-01 00:00:00;1966-10;7.7;Y
1966-11-01 00:00:01;1966-12-01 00:00:00;1966-11;3.5;Y
1966-12-01 00:00:01;1967-01-01 00:00:00;1966-12;1.0;Y
1967-01-01 00:00:01;1967-02-01 00:00:00;1967-01;-3.1;Y
1967-02-01 00:00:01;1967-03-01 00:00:00;1967-02;0.1;Y
1967-03-01 00:00:01;1967-04-01 00:00:00;1967-03;3.0;Y
1967-04-01 00:00:01;1967-05-01 00:00:00;1967-04;3.9;Y
1967-05-01 00:00:01;1967-06-01 00:00:00;1967-05;9.4;Y
1967-06-01 00:00:01;1967-07-01 00:00:00;1967-06;12.8;Y
1967-07-01 00:00:01;1967-08-01 00:00:00;1967-07;16.9;Y
1967-08-01 00:00:01;1967-09-01 00:00:00;1967-08;16.6;Y
1967-09-01 00:00:01;1967-10-01 00:00:00;1967-09;13.4;Y
1967-10-01 00:00:01;1967-11-01 00:00:00;1967-10;10.3;Y
1967-11-01 00:00:01;1967-12-01 00:00:00;1967-11;4.7;Y
1967-12-01 00:00:01;1968-01-01 00:00:00;1967-12;-1.2;Y
1968-01-01 00:00:01;1968-02-01 00:00:00;1968-01;-3.1;Y
1968-02-01 00:00:01;1968-03-01 00:00:00;1968-02;-2.2;Y
1968-03-01 00:00:01;1968-04-01 00:00:00;1968-03;2.0;Y
1968-04-01 00:00:01;1968-05-01 00:00:00;1968-04;5.9;Y
1968-05-01 00:00:01;1968-06-01 00:00:00;1968-05;8.0;Y
1968-06-01 00:00:01;1968-07-01 00:00:00;1968-06;16.1;Y
1968-07-01 00:00:01;1968-08-01 00:00:00;1968-07;14.8;Y
1968-08-01 00:00:01;1968-09-01 00:00:00;1968-08;16.9;Y
1968-09-01 00:00:01;1968-10-01 00:00:00;1968-09;12.9;Y
1968-10-01 00:00:01;1968-11-01 00:00:00;1968-10;7.5;Y
1968-11-01 00:00:01;1968-12-01 00:00:00;1968-11;4.0;Y
1968-12-01 00:00:01;1969-01-01 00:00:00;1968-12;0.5;Y
1969-01-01 00:00:01;1969-02-01 00:00:00;1969-01;-2.2;Y
1969-02-01 00:00:01;1969-03-01 00:00:00;1969-02;-4.4;Y
1969-03-01 00:00:01;1969-04-01 00:00:00;1969-03;-3.5;Y
1969-04-01 00:00:01;1969-05-01 00:00:00;1969-04;4.2;Y
1969-05-01 00:00:01;1969-06-01 00:00:00;1969-05;8.2;Y
1969-06-01 00:00:01;1969-07-01 00:00:00;1969-06;14.8;Y
1969-07-01 00:00:01;1969-08-01 00:00:00;1969-07;17.8;Y
1969-08-01 00:00:01;1969-09-01 00:00:00;1969-08;17.0;Y
1969-09-01 00:00:01;1969-10-01 00:00:00;1969-09;12.5;Y
1969-10-01 00:00:01;1969-11-01 00:00:00;1969-10;8.2;Y
1969-11-01 00:00:01;1969-12-01 00:00:00;1969-11;3.7;Y
1969-12-01 00:00:01;1970-01-01 00:00:00;1969-12;-2.2;Y
1970-01-01 00:00:01;1970-02-01 00:00:00;1970-01;-3.9;Y
1970-02-01 00:00:01;1970-03-01 00:00:00;1970-02;-6.6;Y
1970-03-01 00:00:01;1970-04-01 00:00:00;1970-03;-1.1;Y
1970-04-01 00:00:01;1970-05-01 00:00:00;1970-04;2.5;Y
1970-05-01 00:00:01;1970-06-01 00:00:00;1970-05;8.6;Y
