Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Lund;53430;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1762-05-01 07:00:01;1762-06-01 07:00:00;1762-05;22.0;Y
1762-06-01 07:00:01;1762-07-01 07:00:00;1762-06;7.0;Y
1762-07-01 07:00:01;1762-08-01 07:00:00;1762-07;69.0;Y
1762-08-01 07:00:01;1762-09-01 07:00:00;1762-08;120.0;Y
1762-09-01 07:00:01;1762-10-01 07:00:00;1762-09;54.0;Y
1762-10-01 07:00:01;1762-11-01 07:00:00;1762-10;94.0;Y
1762-11-01 07:00:01;1762-12-01 07:00:00;1762-11;51.0;Y
1762-12-01 07:00:01;1763-01-01 07:00:00;1762-12;18.0;Y
1763-01-01 07:00:01;1763-02-01 07:00:00;1763-01;3.0;Y
1763-02-01 07:00:01;1763-03-01 07:00:00;1763-02;53.0;Y
1763-03-01 07:00:01;1763-04-01 07:00:00;1763-03;34.0;Y
1763-04-01 07:00:01;1763-05-01 07:00:00;1763-04;16.0;Y
1763-05-01 07:00:01;1763-06-01 07:00:00;1763-05;65.0;Y
1763-06-01 07:00:01;1763-07-01 07:00:00;1763-06;64.0;Y
1763-07-01 07:00:01;1763-08-01 07:00:00;1763-07;49.0;Y
1763-08-01 07:00:01;1763-09-01 07:00:00;1763-08;56.0;Y
1763-09-01 07:00:01;1763-10-01 07:00:00;1763-09;33.0;Y
1763-10-01 07:00:01;1763-11-01 07:00:00;1763-10;39.0;Y
1763-11-01 07:00:01;1763-12-01 07:00:00;1763-11;46.0;Y
1763-12-01 07:00:01;1764-01-01 07:00:00;1763-12;68.0;Y
1764-01-01 07:00:01;1764-02-01 07:00:00;1764-01;34.0;Y
1764-02-01 07:00:01;1764-03-01 07:00:00;1764-02;22.0;Y
1764-03-01 07:00:01;1764-04-01 07:00:00;1764-03;1.0;Y
1764-04-01 07:00:01;1764-05-01 07:00:00;1764-04;61.0;Y
1764-05-01 07:00:01;1764-06-01 07:00:00;1764-05;35.0;Y
1764-06-01 07:00:01;1764-07-01 07:00:00;1764-06;36.0;Y
1764-07-01 07:00:01;1764-08-01 07:00:00;1764-07;26.0;Y
1764-08-01 07:00:01;1764-09-01 07:00:00;1764-08;59.0;Y
1764-09-01 07:00:01;1764-10-01 07:00:00;1764-09;57.0;Y
1764-10-01 07:00:01;1764-11-01 07:00:00;1764-10;52.0;Y
1764-11-01 07:00:01;1764-12-01 07:00:00;1764-11;20.0;Y
1764-12-01 07:00:01;1765-01-01 07:00:00;1764-12;25.0;Y
1765-01-01 07:00:01;1765-02-01 07:00:00;1765-01;46.0;Y
1765-02-01 07:00:01;1765-03-01 07:00:00;1765-02;43.0;Y
1765-03-01 07:00:01;1765-04-01 07:00:00;1765-03;36.0;Y
1765-04-01 07:00:01;1765-05-01 07:00:00;1765-04;38.0;Y
1765-05-01 07:00:01;1765-06-01 07:00:00;1765-05;14.0;Y
1765-06-01 07:00:01;1765-07-01 07:00:00;1765-06;21.0;Y
1765-07-01 07:00:01;1765-08-01 07:00:00;1765-07;40.0;Y
1765-08-01 07:00:01;1765-09-01 07:00:00;1765-08;81.0;Y
1765-09-01 07:00:01;1765-10-01 07:00:00;1765-09;33.0;Y
1765-10-01 07:00:01;1765-11-01 07:00:00;1765-10;76.0;Y
1765-11-01 07:00:01;1765-12-01 07:00:00;1765-11;31.0;Y
1765-12-01 07:00:01;1766-01-01 07:00:00;1765-12;17.0;Y
1766-01-01 07:00:01;1766-02-01 07:00:00;1766-01;11.0;Y
1766-02-01 07:00:01;1766-03-01 07:00:00;1766-02;6.0;Y
1766-03-01 07:00:01;1766-04-01 07:00:00;1766-03;23.0;Y
1766-04-01 07:00:01;1766-05-01 07:00:00;1766-04;45.0;Y
1766-05-01 07:00:01;1766-06-01 07:00:00;1766-05;49.0;Y
1766-06-01 07:00:01;1766-07-01 07:00:00;1766-06;50.0;Y
1766-07-01 07:00:01;1766-08-01 07:00:00;1766-07;122.0;Y
1766-08-01 07:00:01;1766-09-01 07:00:00;1766-08;21.0;Y
1766-09-01 07:00:01;1766-10-01 07:00:00;1766-09;40.0;Y
1766-10-01 07:00:01;1766-11-01 07:00:00;1766-10;26.0;Y
1766-11-01 07:00:01;1766-12-01 07:00:00;1766-11;12.0;Y
1766-12-01 07:00:01;1767-01-01 07:00:00;1766-12;15.0;Y
1767-01-01 07:00:01;1767-02-01 07:00:00;1767-01;31.0;Y
1767-02-01 07:00:01;1767-03-01 07:00:00;1767-02;38.0;Y
1767-03-01 07:00:01;1767-04-01 07:00:00;1767-03;27.0;Y
1767-04-01 07:00:01;1767-05-01 07:00:00;1767-04;11.0;Y
1767-05-01 07:00:01;1767-06-01 07:00:00;1767-05;30.0;Y
1767-06-01 07:00:01;1767-07-01 07:00:00;1767-06;55.0;Y
1767-07-01 07:00:01;1767-08-01 07:00:00;1767-07;94.0;Y
1767-08-01 07:00:01;1767-09-01 07:00:00;1767-08;36.0;Y
1767-09-01 07:00:01;1767-10-01 07:00:00;1767-09;63.0;Y
1767-10-01 07:00:01;1767-11-01 07:00:00;1767-10;81.0;Y
1767-11-01 07:00:01;1767-12-01 07:00:00;1767-11;88.0;Y
1767-12-01 07:00:01;1768-01-01 07:00:00;1767-12;36.0;Y
1768-01-01 07:00:01;1768-02-01 07:00:00;1768-01;8.0;Y
1768-02-01 07:00:01;1768-03-01 07:00:00;1768-02;33.0;Y
1768-03-01 07:00:01;1768-04-01 07:00:00;1768-03;16.0;Y
1768-04-01 07:00:01;1768-05-01 07:00:00;1768-04;38.0;Y
1768-05-01 07:00:01;1768-06-01 07:00:00;1768-05;30.0;Y
1768-06-01 07:00:01;1768-07-01 07:00:00;1768-06;76.0;Y
1768-07-01 07:00:01;1768-08-01 07:00:00;1768-07;60.0;Y
1768-08-01 07:00:01;1768-09-01 07:00:00;1768-08;66.0;Y
1768-09-01 07:00:01;1768-10-01 07:00:00;1768-09;80.0;Y
1768-10-01 07:00:01;1768-11-01 07:00:00;1768-10;31.0;Y
1768-11-01 07:00:01;1768-12-01 07:00:00;1768-11;63.0;Y
1768-12-01 07:00:01;1769-01-01 07:00:00;1768-12;36.0;Y
1769-01-01 07:00:01;1769-02-01 07:00:00;1769-01;34.0;Y
1769-02-01 07:00:01;1769-03-01 07:00:00;1769-02;25.0;Y
1769-03-01 07:00:01;1769-04-01 07:00:00;1769-03;28.0;Y
1769-04-01 07:00:01;1769-05-01 07:00:00;1769-04;21.0;Y
1769-05-01 07:00:01;1769-06-01 07:00:00;1769-05;23.0;Y
1769-06-01 07:00:01;1769-07-01 07:00:00;1769-06;45.0;Y
1769-07-01 07:00:01;1769-08-01 07:00:00;1769-07;57.0;Y
1769-08-01 07:00:01;1769-09-01 07:00:00;1769-08;79.0;Y
1769-09-01 07:00:01;1769-10-01 07:00:00;1769-09;63.0;Y
1769-10-01 07:00:01;1769-11-01 07:00:00;1769-10;6.0;Y
1769-11-01 07:00:01;1769-12-01 07:00:00;1769-11;99.0;Y
1769-12-01 07:00:01;1770-01-01 07:00:00;1769-12;31.0;Y
1770-01-01 07:00:01;1770-02-01 07:00:00;1770-01;27.0;Y
1770-02-01 07:00:01;1770-03-01 07:00:00;1770-02;32.0;Y
1770-03-01 07:00:01;1770-04-01 07:00:00;1770-03;16.0;Y
1770-04-01 07:00:01;1770-05-01 07:00:00;1770-04;26.0;Y
1770-05-01 07:00:01;1770-06-01 07:00:00;1770-05;5.0;Y
1770-06-01 07:00:01;1770-07-01 07:00:00;1770-06;64.0;Y
1770-07-01 07:00:01;1770-08-01 07:00:00;1770-07;29.0;Y
1770-08-01 07:00:01;1770-09-01 07:00:00;1770-08;56.0;Y
1770-09-01 07:00:01;1770-10-01 07:00:00;1770-09;109.0;Y
1770-10-01 07:00:01;1770-11-01 07:00:00;1770-10;85.0;Y
1770-11-01 07:00:01;1770-12-01 07:00:00;1770-11;51.0;Y
1770-12-01 07:00:01;1771-01-01 07:00:00;1770-12;59.0;Y
1771-01-01 07:00:01;1771-02-01 07:00:00;1771-01;29.0;Y
1771-02-01 07:00:01;1771-03-01 07:00:00;1771-02;20.0;Y
1771-03-01 07:00:01;1771-04-01 07:00:00;1771-03;7.0;Y
1771-04-01 07:00:01;1771-05-01 07:00:00;1771-04;10.0;Y
1771-05-01 07:00:01;1771-06-01 07:00:00;1771-05;12.0;Y
1771-06-01 07:00:01;1771-07-01 07:00:00;1771-06;42.0;Y
1771-07-01 07:00:01;1771-08-01 07:00:00;1771-07;82.0;Y
1771-08-01 07:00:01;1771-09-01 07:00:00;1771-08;110.0;Y
1771-09-01 07:00:01;1771-10-01 07:00:00;1771-09;17.0;Y
1771-10-01 07:00:01;1771-11-01 07:00:00;1771-10;112.0;Y
1771-11-01 07:00:01;1771-12-01 07:00:00;1771-11;51.0;Y
1771-12-01 07:00:01;1772-01-01 07:00:00;1771-12;40.0;Y
1772-01-01 07:00:01;1772-02-01 07:00:00;1772-01;21.0;Y
1772-02-01 07:00:01;1772-03-01 07:00:00;1772-02;23.0;Y
1772-03-01 07:00:01;1772-04-01 07:00:00;1772-03;20.0;Y
1772-04-01 07:00:01;1772-05-01 07:00:00;1772-04;22.0;Y
1772-05-01 07:00:01;1772-06-01 07:00:00;1772-05;26.0;Y
1772-06-01 07:00:01;1772-07-01 07:00:00;1772-06;33.0;Y
1772-07-01 07:00:01;1772-08-01 07:00:00;1772-07;132.0;Y
1772-08-01 07:00:01;1772-09-01 07:00:00;1772-08;56.0;Y
1772-09-01 07:00:01;1772-10-01 07:00:00;1772-09;75.0;Y
1772-10-01 07:00:01;1772-11-01 07:00:00;1772-10;44.0;Y
1772-11-01 07:00:01;1772-12-01 07:00:00;1772-11;67.0;Y
1772-12-01 07:00:01;1773-01-01 07:00:00;1772-12;79.0;Y
1773-01-01 07:00:01;1773-02-01 07:00:00;1773-01;44.0;Y
1773-02-01 07:00:01;1773-03-01 07:00:00;1773-02;25.0;Y
1773-03-01 07:00:01;1773-04-01 07:00:00;1773-03;22.0;Y
1773-04-01 07:00:01;1773-05-01 07:00:00;1773-04;26.0;Y
1773-05-01 07:00:01;1773-06-01 07:00:00;1773-05;43.0;Y
